year,month,day,bookings,season
2016,November,11,143,Fall
2016,November,12,94,Fall
2016,November,13,99,Fall
2016,November,14,117,Fall
2016,November,15,81,Fall
2016,November,16,95,Fall
2016,November,17,101,Fall
2016,November,18,134,Fall
2016,November,19,102,Fall
2016,November,20,58,Fall
2016,November,21,149,Fall
2016,November,22,56,Fall
2016,November,23,83,Fall
2016,November,24,81,Fall
2016,November,25,125,Fall
2016,November,26,84,Fall
2016,November,27,48,Fall
2016,November,28,86,Fall
2016,November,29,72,Fall
2016,November,30,48,Fall
2016,October,1,63,Fall
2016,October,2,109,Fall
2016,October,3,131,Fall
2016,October,4,97,Fall
2016,October,5,107,Fall
2016,October,6,174,Fall
2016,October,7,115,Fall
2016,October,8,68,Fall
2016,October,9,140,Fall
2016,October,10,145,Fall
2016,October,11,130,Fall
2016,October,12,148,Fall
2016,October,13,144,Fall
2016,October,14,146,Fall
2016,October,15,56,Fall
2016,October,16,147,Fall
2016,October,17,107,Fall
2016,October,18,95,Fall
2016,October,19,87,Fall
2016,October,20,152,Fall
2016,October,21,104,Fall
2016,October,22,73,Fall
2016,October,23,167,Fall
2016,October,24,100,Fall
2016,October,25,127,Fall
2016,October,26,106,Fall
2016,October,27,95,Fall
2016,October,28,151,Fall
2016,October,29,158,Fall
2016,October,30,130,Fall
2016,October,31,117,Fall
2016,September,1,113,Fall
2016,September,2,107,Fall
2016,September,3,109,Fall
2016,September,4,80,Fall
2016,September,5,133,Fall
2016,September,6,76,Fall
2016,September,7,58,Fall
2016,September,8,97,Fall
2016,September,9,96,Fall
2016,September,10,88,Fall
2016,September,11,122,Fall
2016,September,12,123,Fall
2016,September,13,148,Fall
2016,September,14,91,Fall
2016,September,15,174,Fall
2016,September,16,118,Fall
2016,September,17,90,Fall
2016,September,18,130,Fall
2016,September,19,144,Fall
2016,September,20,120,Fall
2016,September,21,157,Fall
2016,September,22,116,Fall
2016,September,23,100,Fall
2016,September,24,60,Fall
2016,September,25,122,Fall
2016,September,26,167,Fall
2016,September,27,93,Fall
2016,September,28,100,Fall
2016,September,29,104,Fall
2016,September,30,136,Fall
2017,April,1,86,Spring
2017,April,2,75,Spring
2017,April,3,140,Spring
2017,April,4,61,Spring
2017,April,5,159,Spring
2017,April,6,93,Spring
2017,April,7,81,Spring
2017,April,8,111,Spring
2017,April,9,139,Spring
2017,April,10,117,Spring
2017,April,11,102,Spring
2017,April,12,86,Spring
2017,April,13,128,Spring
2017,April,14,121,Spring
2017,April,15,100,Spring
2017,April,16,85,Spring
2017,April,17,117,Spring
2017,April,18,89,Spring
2017,April,19,114,Spring
2017,April,20,99,Spring
2017,April,21,99,Spring
2017,April,22,105,Spring
2017,April,23,109,Spring
2017,April,24,96,Spring
2017,April,25,76,Spring
2017,April,26,75,Spring
2017,April,27,106,Spring
2017,April,28,161,Spring
2017,April,29,169,Spring
2017,April,30,99,Spring
2017,August,1,101,Summer
2017,August,2,102,Summer
2017,August,3,107,Summer
2017,August,4,106,Summer
2017,August,5,89,Summer
2017,August,6,91,Summer
2017,August,7,129,Summer
